Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
10-20,97,49.09556,64.25,11.7564,1.72561,13.92872,30.64116,30.54997,24.13666
10-20,98,53.84,70.31,13.58244,1.77731,14.92839,32.89489,32.78957,27.48013
10-20,99,62.43888,80.67,16.77507,1.84509,19.94175,36.90149,36.77555,33.40396
20-30,1,7.125,8.36,0.20634,0.00541,0.04568,2.12817,2.07244,1.941
20-30,2,8.3,9.65,0.28165,0.01295,0.08264,2.53778,2.4724,2.28257
20-30,3,9.07748,10.56,0.34174,0.01903,0.11386,2.82553,2.75666,2.52473
20-30,4,9.7,11.3,0.39287,0.02408,0.1421,3.06354,2.9931,2.71671
20-30,5,10.2325,11.91,0.44072,0.02936,0.16865,3.27053,3.19723,2.87985
20-30,6,10.71,12.45,0.4852,0.03521,0.19288,3.45864,3.38446,3.02638
20-30,7,11.12793,12.94,0.52691,0.04139,0.21569,3.6307,3.5572,3.15959
20-30,8,11.515,13.39,0.56658,0.04688,0.23756,3.79529,3.71919,3.28452
20-30,9,11.87857,13.81,0.60443,0.05206,0.25802,3.95315,3.87472,3.40049
20-30,10,12.22167,14.21,0.64136,0.05747,0.27857,4.10667,4.02608,3.51229
20-30,11,12.54727,14.58,0.67806,0.06305,0.29823,4.2541,4.17213,3.6189
20-30,12,12.856,14.95,0.71372,0.0688,0.31768,4.3994,4.31537,3.72305
20-30,13,13.15695,15.29,0.74825,0.07467,0.33662,4.54328,4.45636,3.82302
20-30,14,13.445,15.63,0.78234,0.08072,0.35489,4.68392,4.59638,3.92046
20-30,15,13.7256,15.96,0.81573,0.08673,0.37248,4.82584,4.73733,4.01746
20-30,16,13.998,16.28,0.84879,0.09296,0.39001,4.96501,4.87624,4.11177
20-30,17,14.264,16.6,0.88094,0.09888,0.40759,5.10686,5.01574,4.20557
20-30,18,14.5275,16.91,0.9128,0.10451,0.4245,5.24726,5.15458,4.2961
20-30,19,14.7875,17.21,0.94474,0.11028,0.44126,5.38643,5.29295,4.38677
20-30,20,15.04167,17.51,0.97636,0.11593,0.45795,5.52531,5.43045,4.47829
20-30,21,15.29,17.8,1.0076,0.12127,0.4745,5.66694,5.56953,4.56651
20-30,22,15.53556,18.09,1.03864,0.12639,0.49111,5.81021,5.70911,4.65667
20-30,23,15.78222,18.38,1.06927,0.13132,0.50715,5.95177,5.8503,4.74514
20-30,24,16.02094,18.67,1.09993,0.13609,0.52329,6.09644,5.99479,4.83356
20-30,25,16.26,18.95,1.1308,0.14078,0.53971,6.24282,6.13925,4.92384
20-30,26,16.5,19.24,1.16196,0.14552,0.55591,6.39163,6.28459,5.01219
20-30,27,16.73889,19.52,1.19268,0.15041,0.57196,6.54103,6.43134,5.10178
20-30,28,16.97364,19.8,1.22312,0.15521,0.58833,6.69079,6.58219,5.19184
20-30,29,17.20667,20.08,1.25355,0.15999,0.60476,6.8447,6.73224,5.2843
20-30,30,17.43667,20.36,1.28473,0.16466,0.62173,7.00045,6.88619,5.37531
20-30,31,17.67,20.64,1.31597,0.16938,0.63873,7.15964,7.04308,5.46744
20-30,32,17.9025,20.92,1.34767,0.17402,0.65611,7.32179,7.20246,5.55844
20-30,33,18.13,21.21,1.3789,0.17857,0.67388,7.48269,7.36647,5.65126
20-30,34,18.36692,21.49,1.41058,0.18307,0.69163,7.64851,7.5297,5.74745
20-30,35,18.6,21.78,1.44254,0.18733,0.70949,7.81518,7.69637,5.8417
20-30,36,18.83556,22.06,1.47546,0.19144,0.72737,7.98939,7.86398,5.93685
20-30,37,19.06714,22.35,1.50802,0.19537,0.74582,8.16762,8.03788,6.03375
20-30,38,19.305,22.64,1.54195,0.19915,0.76363,8.34657,8.21666,6.13021
20-30,39,19.545,22.94,1.57563,0.20278,0.78232,8.52845,8.39646,6.22788
20-30,40,19.78667,23.23,1.60964,0.2061,0.80157,8.71449,8.57824,6.32883
20-30,41,20.02667,23.53,1.64415,0.20925,0.82075,8.90388,8.76736,6.4318
20-30,42,20.2675,23.83,1.67895,0.21234,0.84032,9.09515,8.95551,6.53468
20-30,43,20.51,24.13,1.71457,0.21553,0.86034,9.29054,9.14727,6.63949
20-30,44,20.75875,24.44,1.75111,0.21925,0.88042,9.48688,9.34483,6.74632
